ID,Category,SubCategory,Difficulty,Mode,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Solution_Text,Image_URL
1,Mathematics,Algebra,Easy,Practice,"Solve for $x$: $2x + 5 = 13$",3,4,5,6,7,B,"Subtract 5 from both sides: $2x = 8$. Then divide by 2: $x = 4$.",
2,Mathematics,Algebra,Medium,Practice,"Find the value of $x$ in the equation: $3x^2 - 12x + 12 = 0$",1,2,3,4,No solution,B,"Factor out 3: $3(x^2 - 4x + 4) = 0$. This gives $(x-2)^2 = 0$, so $x = 2$.",
3,Mathematics,Geometry,Hard,Practice,"A circle has a radius of 5 cm. What is its area? (Use $\pi = 3.14$)","15.7 cm²","25 cm²","78.5 cm²","50 cm²","62.8 cm²",C,"Area = $\pi r^2 = 3.14 \times 5^2 = 3.14 \times 25 = 78.5$ cm².",
4,Logic,Reasoning,Easy,Practice,Which number comes next in the sequence: 2 4 8 16 ?,20,24,28,32,36,D,The sequence doubles each time: $2 \times 2 = 4$; $4 \times 2 = 8$; $8 \times 2 = 16$; $16 \times 2 = 32$.,
5,Logic,Reasoning,Medium,Mock,"If all Bloops are Razzies and all Razzies are Lazzies, then all Bloops are definitely Lazzies.",True,False,Cannot be determined,Insufficient information,None of the above,A,"This is a valid syllogism. If A⊆B and B⊆C, then A⊆C.",
6,Mathematics,Statistics,Medium,Mock,"What is the mean of the following numbers: 4, 8, 6, 5, 3?",5,5.2,6,6.5,7,B,"Mean = $(4+8+6+5+3)/5 = 26/5 = 5.2$.",
7,Mathematics,Calculus,Hard,Mock,"Find the derivative of $f(x) = 3x^2 + 2x - 1$","$6x + 2$","$6x - 1$","$3x + 2$","$6x$","$3x^2 + 2$",A,"Using power rule: $f'(x) = 6x + 2$.",
8,Logic,Patterns,Easy,Practice,"What is the missing number? 1, 4, 9, 16, ?",20,21,24,25,36,D,The sequence is perfect squares: $1^2, 2^2, 3^2, 4^2, 5^2 = 25$.,
9,Mathematics,Probability,Medium,Mock,"What is the probability of rolling a sum of 7 with two fair dice?","$\frac{1}{6}$","$\frac{1}{12}$","$\frac{5}{36}$","$\frac{7}{36}$","$\frac{1}{36}$",A,"There are 6 ways to get 7: (1,6), (2,5), (3,4), (4,3), (5,2), (6,1) out of 36 possible outcomes. $P = \frac{6}{36} = \frac{1}{6}$.",
10,Mathematics,Algebra,Hard,Practice,"Simplify: $\frac{x^2 - 9}{x - 3}$","$x + 3$","$x - 3$","$x^2 + 3$","$x$","Cannot be simplified",A,"Factor numerator: $\frac{(x+3)(x-3)}{x-3} = x + 3$ (for $x \neq 3$).",
11,Logic,Critical Thinking,Medium,Mock,"If the statement 'All cats are animals' is true, which of the following must also be true?",Some animals are cats,All animals are cats,No animals are cats,Some cats are not animals,All cats are not animals,A,"If all cats are in the set of animals, then at least some animals must be cats.",
12,Mathematics,Geometry,Easy,Practice,"What is the perimeter of a rectangle with length 8 cm and width 5 cm?",13 cm,18 cm,26 cm,40 cm,80 cm,C,"Perimeter = $2(l + w) = 2(8 + 5) = 2(13) = 26$ cm.",
13,Mathematics,Trigonometry,Hard,Mock,"What is the value of $\sin(30°)$?","$\frac{1}{2}$","$\frac{\sqrt{3}}{2}$",1,"$\frac{\sqrt{2}}{2}$",0,A,"Standard trigonometric value: $\sin(30°) = \frac{1}{2}$.",
14,Logic,Sequences,Easy,Practice,"Complete the pattern: A, C, E, G, ?",H,I,J,K,L,B,"Skip one letter each time: A(skip B)C(skip D)E(skip F)G(skip H)I.",
15,Mathematics,Arithmetic,Easy,Mock,"What is 15% of 200?",15,20,25,30,35,D,"$0.15 \times 200 = 30$.",
16,Mathematics,Algebra,Medium,Practice,"If $f(x) = 2x + 3$, what is $f(5)$?",8,10,13,15,16,C,"$f(5) = 2(5) + 3 = 10 + 3 = 13$.",
17,Logic,Reasoning,Hard,Mock,"In a class of 30 students, 18 play soccer, 12 play basketball, and 8 play both. How many play neither?",4,6,8,10,12,C,"Using inclusion-exclusion: $30 - (18 + 12 - 8) = 30 - 22 = 8$.",
18,Mathematics,Statistics,Easy,Practice,"What is the median of: 3, 7, 2, 9, 5?",3,5,7,2,9,B,"Arrange in order: 2, 3, 5, 7, 9. Middle value is 5.",
19,Mathematics,Fractions,Medium,Mock,"Simplify: $\frac{3}{4} + \frac{2}{3}$","$\frac{5}{7}$","$\frac{17}{12}$","$\frac{5}{12}$","$\frac{9}{12}$",1,B,"Find common denominator: $\frac{9}{12} + \frac{8}{12} = \frac{17}{12}$.",
20,Logic,Logical Deduction,Medium,Practice,"If A > B and B > C, which statement is true?",A < C,A = C,A > C,C > A,Cannot determine,C,"Transitive property: If A > B and B > C, then A > C.",
21,English,Reading Comprehension,Easy,Practice,"The Amazon rainforest, often referred to as the 'lungs of the Earth,' spans across nine countries in South America and covers approximately 5.5 million square kilometers. This vast ecosystem is home to an estimated 10% of all species on Earth, including over 40,000 plant species, 1,300 bird species, and 3,000 types of fish. The forest plays a crucial role in regulating the global climate by absorbing carbon dioxide and releasing oxygen. However, deforestation has been a growing concern, with an estimated 17% of the forest lost in the last 50 years due to cattle ranching, logging, and agricultural expansion. Scientists warn that continued destruction could push the ecosystem past a tipping point, transforming large sections into savanna. What percentage of all Earth's species are found in the Amazon?",About 10%,About 5%,About 25%,About 50%,About 75%,A,"The passage states 'This vast ecosystem is home to an estimated 10% of all species on Earth.'",
22,English,Reading Comprehension,Easy,Practice,"Water is essential for all known forms of life on Earth. The human body is composed of approximately 60% water, and even a small decrease in hydration levels can significantly impact cognitive function and physical performance. Despite covering about 71% of the Earth's surface, only about 2.5% of the world's water is freshwater, and less than 1% is easily accessible for human use. Many regions around the world face severe water scarcity, affecting over 2 billion people globally. Conservation efforts, including rainwater harvesting, desalination technology, and improved irrigation methods, are being developed to address this growing crisis. The United Nations has recognized access to clean water as a fundamental human right since 2010. What fraction of Earth's water is freshwater?",About 1%,About 10%,About 2.5%,About 25%,About 50%,C,"The passage clearly states 'only about 2.5% of the world's water is freshwater.'",
23,English,Reading Comprehension,Easy,Practice,"The Great Wall of China is one of the most remarkable architectural achievements in human history. Contrary to popular belief, it is not a single continuous wall but rather a series of walls and fortifications built over centuries by various Chinese dynasties. The earliest sections were constructed as far back as the 7th century BC, while the most well-known portions were built during the Ming Dynasty (1368-1644 AD). The total length of all sections ever built is estimated to be over 21,000 kilometers. The wall was primarily designed to protect Chinese states from invasions by nomadic groups from the north. Today, it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing millions of visitors annually. During which dynasty were the most well-known sections built?",Han Dynasty,Tang Dynasty,Song Dynasty,Ming Dynasty,Qin Dynasty,D,"The passage states 'the most well-known portions were built during the Ming Dynasty (1368-1644 AD).'",
24,English,Reading Comprehension,Medium,Practice,"Artificial intelligence has rapidly evolved from a theoretical concept to a transformative technology that touches nearly every aspect of modern life. Machine learning, a subset of AI, enables computers to learn from data without being explicitly programmed, leading to breakthroughs in image recognition, natural language processing, and autonomous driving. Deep learning, which uses artificial neural networks inspired by the human brain, has been particularly revolutionary, achieving superhuman performance in tasks like playing complex games and diagnosing medical conditions from imaging scans. However, the rise of AI has also sparked significant ethical debates. Concerns about job displacement, algorithmic bias, privacy invasion, and the potential development of superintelligent systems that could act beyond human control have led to calls for robust regulation and governance frameworks. Researchers emphasize the importance of developing AI systems that are transparent, fair, and aligned with human values. According to the passage, what has deep learning achieved?",Only theoretical advances,Complete replacement of human workers,Perfect elimination of all biases,Superhuman performance in certain tasks,Full autonomous governance,D,"The passage states deep learning has achieved 'superhuman performance in tasks like playing complex games and diagnosing medical conditions from imaging scans.'",
25,English,Reading Comprehension,Medium,Practice,"The human microbiome consists of trillions of microorganisms living in and on our bodies, primarily in the gut. These microscopic organisms, including bacteria, viruses, fungi, and other microbes, outnumber human cells and play essential roles in digestion, immune system regulation, and even mental health through the gut-brain axis. Recent research has revealed that the composition of an individual's microbiome is influenced by factors such as diet, environment, medication use (particularly antibiotics), and mode of birth delivery. Studies have linked imbalances in the gut microbiome, known as dysbiosis, to conditions ranging from inflammatory bowel disease and obesity to depression and autoimmune disorders. Scientists are now exploring therapeutic approaches such as fecal microbiota transplantation, targeted probiotics, and personalized nutrition plans to restore healthy microbial balance. The field of microbiome research has grown exponentially, with many experts believing it could revolutionize personalized medicine. What is dysbiosis?",A type of beneficial bacteria,A medical treatment,A digestive enzyme,A type of probiotic,An imbalance in the gut microbiome,E,"The passage defines dysbiosis as 'imbalances in the gut microbiome.'",
